"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX18276014","GSM6733249: N99; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768436","","4342.22","1","5170466","5039320779","GSM6733249","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276013","GSM6733248: N157; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768435","","3564.67","1","4253210","4145982578","GSM6733248","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276012","GSM6733247: N155; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768434","","3298.96","1","4274860","3831659251","GSM6733247","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276011","GSM6733246: N151; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768433","","3765.42","1","4840980","4379170667","GSM6733246","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276010","GSM6733245: N150; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768432","","3383.81","1","4062217","3934687649","GSM6733245","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276009","GSM6733244: N142; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768431","","3951.52","1","4437544","4587426287","GSM6733244","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276008","GSM6733243: N131; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768430","","3857.18","1","4258933","4478885017","GSM6733243","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276007","GSM6733242: N129; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768429","","3274.87","1","3914008","3804348772","GSM6733242","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276006","GSM6733241: N122; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768428","","4239.11","1","5672047","4917734231","GSM6733241","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276005","GSM6733240: N112; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768427","","3441.92","1","4401694","3993160839","GSM6733240","RNA-Seq","TRANSCRIPTOMIC","cDNA"
